Ticker
XOM
TGT
KMB
KO
LOW
MKC
O
IBM
WMT
FAST
ITW
SPGI
ADP
SHW
CB
CINF
PEP
DOV
SWK
ESS
NUE
ALB
ADM
CL
CTAS
FRT
CAT
ECL
PPG
APD
JNJ
ED
CHD
BDX
SJM
AOS
CAH
PG
BF-B
WST
PNR
EXPD
TROW
BRO
NDSN
BEN
GD
ATO
CVX
GWW
CLX
CHRW
AFL
EMR
ABT
ROP
GPC
NEE
HRL
SYY
MCD
