Date,ABT,ADM,ADP,AFL,ALB,AOS,APD,ATO,BDX,BEN,BF-B,BRO,CAH,CAT,CB,CHD,CHRW,CINF,CL,CLX,CTAS,CVX,DOV,ECL,ED,EMR,ESS,EXPD,FAST,FRT,GD,GPC,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MCD,MKC,NDSN,NEE,NUE,O,PEP,PG,PNR,PPG,ROP,SHW,SJM,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2010-04-30,18.084863662719727,19.452835083007812,27.27520751953125,18.04202651977539,37.58069610595703,6.986390590667725,50.0167236328125,19.713254928588867,58.97401809692383,23.594051361083984,12.229183197021484,8.601091384887695,23.796724319458008,47.35113525390625,39.34975814819336,14.09062385559082,43.49905776977539,17.65276527404785,30.188018798828125,43.12153244018555,22.582387924194336,46.78609085083008,26.66606330871582,41.56563186645508,26.054418563842773,35.04550552368164,68.14250183105469,33.99388122558594,9.49981689453125,48.44297790527344,54.835941314697266,28.43427276611328,86.82290649414062,7.670820236206055,75.10223388671875,36.64385223388672,42.72447204589844,36.340091705322266,17.336977005004883,20.99406623840332,47.93132019042969,15.113945007324219,31.107906341552734,8.67292308807373,30.55597686767578,16.563405990600586,43.3691520690918,41.18732452392578,18.743009567260742,27.317646026611328,56.22148132324219,22.29410171508789,42.0338020324707,26.384897232055664,44.98389434814453,21.096275329589844,39.203125,36.882957458496094,13.126309394836426,18.83306312561035,39.69202423095703
2010-05-03,17.98234748840332,19.29965591430664,27.46387481689453,18.208417892456055,37.86054611206055,7.128473281860352,50.16658020019531,19.886526107788086,58.85820007324219,23.924579620361328,12.290143013000488,8.638821601867676,24.242610931396484,48.637657165527344,39.1130256652832,14.098756790161133,44.54471969604492,17.82034683227539,30.249021530151367,42.688316345214844,22.76463508605957,47.58461380004883,27.27373504638672,41.991153717041016,26.35991096496582,35.97817611694336,70.98873901367188,35.20466995239258,9.810746192932129,49.77626419067383,55.6905403137207,28.925905227661133,88.18169403076172,7.70093297958374,75.45154571533203,37.289249420166016,43.40885925292969,36.274845123291016,17.43753433227539,21.474023818969727,48.49490737915039,15.129225730895996,31.939496994018555,8.77456283569336,30.96724510192871,16.62401580810547,43.68169021606445,41.531864166259766,19.15768814086914,27.670909881591797,57.4468879699707,22.848108291625977,42.02691650390625,26.43966293334961,45.8234977722168,20.755149841308594,39.28584671020508,37.54960250854492,13.150785446166992,19.215579986572266,39.7330207824707
2010-05-04,17.741966247558594,18.25531005859375,26.95447540283203,17.28437042236328,36.56834411621094,6.962034702301025,48.707359313964844,19.51998519897461,58.255855560302734,23.122745513916016,11.880257606506348,8.587372779846191,23.920202255249023,46.384498596191406,38.52857971191406,14.102827072143555,43.77309036254883,17.379653930664062,29.74649429321289,42.01517105102539,22.24274253845215,46.39543914794922,26.512868881225586,41.352874755859375,25.962188720703125,33.66999435424805,71.43953704833984,34.25273513793945,9.395594596862793,48.799781799316406,54.060367584228516,28.02237319946289,85.6997299194336,7.586131572723389,74.58989715576172,36.12038040161133,42.99025344848633,36.298580169677734,17.249399185180664,20.87794303894043,47.965267181396484,15.049015045166016,30.878318786621094,8.572945594787598,30.44809341430664,16.083528518676758,43.508792877197266,40.8891487121582,18.214309692382812,26.580068588256836,55.7700080871582,22.40261459350586,41.70341873168945,25.56329345703125,44.46276092529297,20.65481948852539,38.31386947631836,36.73554229736328,13.219303131103516,18.91407012939453,38.930641174316406
2010-05-05,17.727825164794922,18.415443420410156,26.828689575195312,17.04361915588379,35.498374938964844,6.749587059020996,48.29694747924805,19.186767578125,58.387149810791016,22.93911361694336,11.93701171875,8.471617698669434,24.54444122314453,45.869903564453125,38.661739349365234,14.110966682434082,43.78030014038086,17.317583084106445,29.692659378051758,42.06182098388672,22.11847496032715,46.06797790527344,26.34946060180664,41.352874755859375,25.96794319152832,32.89165496826172,70.83419799804688,33.9354362487793,9.260108947753906,48.098697662353516,53.830570220947266,27.736696243286133,85.29913330078125,7.674586296081543,74.20565795898438,35.69011306762695,43.28261184692383,36.49433135986328,17.40509605407715,20.63023567199707,47.97886276245117,15.06429386138916,30.536151885986328,8.487966537475586,30.859371185302734,15.931986808776855,43.355857849121094,41.18732452392578,17.815200805664062,26.19186019897461,55.26325607299805,22.00282859802246,41.72406768798828,24.968624114990234,43.434967041015625,20.761842727661133,38.644752502441406,36.26761245727539,13.402840614318848,18.819562911987305,38.75492477416992
2010-05-06,17.321306228637695,17.893266677856445,26.042579650878906,16.385099411010742,33.57244110107422,6.714404582977295,47.08530807495117,18.50699234008789,57.82343292236328,21.869993209838867,11.783574104309082,8.141498565673828,23.611509323120117,44.1591682434082,37.448486328125,13.793545722961426,42.66254425048828,16.752742767333984,29.351654052734375,41.601951599121094,21.62143325805664,44.35025405883789,24.88900375366211,40.42521286010742,25.48375129699707,32.50246810913086,67.67243194580078,32.59103775024414,8.919649124145508,46.47746658325195,51.74802780151367,26.78667640686035,84.06770324707031,7.5710768699646,72.5145263671875,34.592952728271484,42.126461029052734,36.239253997802734,16.963964462280273,19.755475997924805,47.136878967285156,14.743450164794922,29.42298698425293,8.509625434875488,30.13796043395996,15.164180755615234,43.02336883544922,40.2530403137207,17.110258102416992,25.338760375976562,53.42051696777344,21.797229766845703,40.5333366394043,23.77926254272461,42.28412628173828,19.98594093322754,37.92784118652344,34.26130294799805,13.025982856750488,18.455049514770508,37.4195671081543
2010-05-07,17.222339630126953,18.060365676879883,26.13690948486328,15.673479080200195,32.2884635925293,6.460011959075928,46.23843765258789,18.21377182006836,56.88132858276367,21.325225830078125,11.594395637512207,8.150073051452637,23.179340362548828,43.185569763183594,37.389312744140625,13.5860013961792,41.70341873168945,16.49825668334961,28.791685104370117,40.9887809753418,21.157527923583984,44.292816162109375,24.52644157409668,40.62947463989258,25.558683395385742,32.52259826660156,66.03678894042969,32.257041931152344,8.723363876342773,46.026771545410156,50.627742767333984,26.36814308166504,82.83631896972656,7.569198131561279,71.44950103759766,34.212894439697266,42.06666564941406,36.185874938964844,17.08397674560547,19.59291648864746,46.17948532104492,14.495174407958984,28.561046600341797,8.534621238708496,30.272789001464844,15.27530574798584,42.93692398071289,39.96150588989258,16.60747718811035,24.963077545166016,52.95985412597656,21.688716888427734,40.21672821044922,23.693201065063477,40.6193962097168,19.684951782226562,37.43150329589844,33.658756256103516,12.82287311553955,18.185041427612305,37.30828094482422
2010-05-10,17.565223693847656,18.526832580566406,26.71548843383789,17.613628387451172,35.10332107543945,6.809126853942871,47.28724670410156,18.74691390991211,58.35625457763672,22.643266677856445,12.035802841186523,8.343000411987305,23.981931686401367,46.37757110595703,38.129085540771484,14.121139526367188,43.7586784362793,17.149995803833008,29.857776641845703,42.32841491699219,22.284164428710938,45.895626068115234,26.01242446899414,41.72734069824219,26.175090789794922,34.11954116821289,69.93268585205078,34.36964797973633,9.289636611938477,49.012596130371094,52.502044677734375,28.26154136657715,87.39096069335938,7.753627300262451,73.8896713256836,36.027164459228516,43.02347183227539,37.33076477050781,17.528348922729492,20.668933868408203,47.92453384399414,15.010815620422363,30.458194732666016,8.767894744873047,31.398757934570312,16.103736877441406,44.16046142578125,41.359588623046875,17.60786247253418,26.25447654724121,56.27674865722656,22.688194274902344,40.553977966308594,22.80900001525879,44.31800079345703,20.240116119384766,39.06523895263672,35.280479431152344,12.866917610168457,18.73406410217285,38.20439529418945
2010-05-11,17.462709426879883,18.812294006347656,26.728069305419922,17.32685089111328,34.78231430053711,6.755000591278076,46.68792724609375,19.026813507080078,57.722999572753906,22.339262008666992,12.103068351745605,8.390158653259277,24.02995491027832,45.94639587402344,38.19567108154297,13.634838104248047,43.7586784362793,17.044471740722656,29.732145309448242,42.081809997558594,22.08534049987793,45.786476135253906,25.772424697875977,41.57414245605469,26.204296112060547,33.48211669921875,70.48649597167969,34.486549377441406,9.423388481140137,48.97503662109375,52.17169952392578,28.24825668334961,87.09101867675781,7.723517417907715,74.25248718261719,35.941097259521484,42.97032165527344,37.247718811035156,17.388874053955078,20.978578567504883,47.85660934448242,15.022278785705566,30.540491104125977,8.77456283569336,31.007709503173828,16.351247787475586,44.25355529785156,41.32646942138672,17.73225975036621,25.996191024780273,55.88056564331055,22.69675636291504,40.38877868652344,23.521047592163086,44.477256774902344,20.320383071899414,38.79641342163086,34.63947677612305,12.837557792663574,18.69806480407715,38.009803771972656
2010-05-12,17.37433624267578,19.146484375,27.055103302001953,17.716310501098633,35.778202056884766,7.018867492675781,47.27420425415039,19.233423233032227,57.993282318115234,22.70652198791504,12.37842845916748,8.501626968383789,24.24947166442871,47.392860412597656,39.79364013671875,13.65925121307373,44.14809036254883,17.27412986755371,29.990591049194336,42.575016021728516,22.516117095947266,45.99329376220703,26.436269760131836,41.2847900390625,26.204296112060547,33.95835494995117,71.57475280761719,35.39672088623047,9.631831169128418,49.36313247680664,53.2058219909668,28.4409236907959,87.12257385253906,7.766802787780762,77.64061737060547,36.92353820800781,43.123146057128906,37.25365447998047,17.521865844726562,20.94761848449707,47.98564147949219,15.117768287658691,31.9351749420166,8.809553146362305,31.533597946166992,16.522993087768555,44.51288986206055,41.75715255737305,18.42163848876953,26.469703674316406,57.069129943847656,22.96518898010254,40.24325942993164,23.442808151245117,45.31684875488281,20.527732849121094,39.38235092163086,35.24201202392578,12.917057991027832,19.053569793701172,38.275146484375
2010-05-13,17.183448791503906,18.90280532836914,26.696622848510742,17.142749786376953,35.49013900756836,6.972862720489502,46.55763626098633,19.166767120361328,57.506813049316406,22.349472045898438,12.288039207458496,8.497343063354492,23.776151657104492,46.53055191040039,39.74184036254883,13.579731941223145,43.70096969604492,17.205856323242188,29.839826583862305,42.42838668823242,22.284164428710938,45.33838653564453,25.951154708862305,40.93584442138672,26.023174285888672,33.9988899230957,70.38988494873047,34.912410736083984,9.550192832946777,48.46803283691406,52.394325256347656,27.902799606323242,85.96221923828125,7.759273529052734,76.93840789794922,36.206424713134766,42.97032165527344,36.8858528137207,17.349956512451172,20.320581436157227,47.870216369628906,15.094841957092285,31.398101806640625,8.80622386932373,31.23695182800293,16.39166259765625,44.207008361816406,41.5782585144043,18.359447479248047,26.133150100708008,56.7374267578125,22.33694839477539,40.34027099609375,22.871599197387695,44.701622009277344,20.56786346435547,37.9622917175293,34.44718551635742,12.89736557006836,18.986068725585938,38.17491149902344
