Date,Ticker,dividendYield,payoutRatio,operatingcashFlowRatio,ROA,netProfitMargin
2010-06-30,ABT,0.02659428110662773,0.5258382688808888,0.9604254948449097,0.024196629380397315,0.14791451018842566
2010-06-30,ADM,0.008259301196757827,0.21524663677130046,-0.09827213822894168,0.014021629778672032,0.028402216137043877
2010-06-30,ADP,0.013955801802409646,0.8431938431938432,0.43552472194692216,0.007739500115403802,0.09491850431447747
2010-06-30,AFL,0.01830744240683623,0.22547332185886404,-1.3443759630200307,0.006367890923837394,0.11666666666666667
2010-06-30,ALB,0.004253879185361414,0.15569228510966227,0.9567855435194803,0.02993368899369112,0.13798033023732326
2010-06-30,AOS,0.020104014393437758,0.3614457831325301,3.7413793103448274,0.008438389589263929,0.029133029133029134
2010-06-30,APD,0.011530309642012808,0.41113744075829384,1.505062902730899,0.019477822053325537,0.11393601223957162
2010-06-30,ATO,0.018553539173636793,-9.943880786303108,0.4387587470579873,-0.0004789200762263406,-0.004094737211086689
2010-06-30,BDX,0.007033068675551026,0.14043258951941565,0.5729765251905204,0.06789340136650208,0.3287633555371596
2010-06-30,BEN,0.012600039432733428,0.1388673906711605,1.1295050144448306,0.03463030175178922,0.23499238301225953
2010-06-30,BF-B,0.38318783882329177,9.368262068965517,6.22890450928382,0.021437653390106153,0.1290035587188612
2010-06-30,BRO,0.009438225048996855,0.2674517421391283,0.3817166983600228,0.0176244387652922,0.16902304393326903
2010-06-30,CAH,0.007573293425115491,0.2814317673378076,0.35847804446410797,0.011180590295147574,0.00913751655791591
2010-06-30,CAT,0.010072527970443737,0.37482319660537483,0.5082943428328371,0.012025241100130969,0.06792199058507062
2010-06-30,CB,0.024415936028260924,0.465288035450517,-2.8646864686468647,0.008445608782435129,0.1800531914893617
2010-06-30,CHD,0.010904012142605503,0.13324360699865412,0.27035490605427975,0.023883901735906408,0.11689741976085588
2010-06-30,CHRW,0.00631023496426455,0.43431798078703227,0.003285200470134943,0.05058863808305765,0.03961968751197034
2010-06-30,CINF,0.02368866257928738,2.3333333333333335,-0.4583333333333333,0.0018484288354898336,0.030751708428246014
2010-06-30,CL,0.021507373364061978,0.494195688225539,0.2537912578055308,0.056962025316455694,0.15810173046670162
2010-06-30,CLX,0.012350345827207766,0.4152046783625731,0.5529411764705883,0.037598944591029027,0.11272247857613711
2010-06-30,CTAS,0.025164930589022843,1.2069781484080486,0.3466473273367863,0.01574878228812636,0.06632399037129398
2010-06-30,CVX,-0.053058207278822905,-0.7705675725642448,0.3988354403818916,0.03149418327064386,0.10204890196966267
2010-06-30,DOV,0.01211288948095501,0.28598928592453055,0.6471314399616444,0.02101491382178111,0.0950749316056005
2010-06-30,ECL,0.004087346167359153,0.28306264501160094,1.2199787460148779,0.027724173420815644,0.0859650289209494
2010-06-30,ED,0.022390339148507462,0.8548387096774194,0.7264409881061299,0.005408706272354532,0.06165064633742128
