fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2021-06-30,425500000,21600000,None,43600000,6500000,164500000,16200000,-9600000,-3300000,286300000,-32900000,-389400000,-375000000,None,None,None,59000000,59000000,None,None,0,None,3500000,3500000,286300000,None,286300000
2021-03-31,559600000,14000000,None,14100000,8200000,164700000,16300000,70300000,2100000,289000000,10700000,-545200000,-495000000,None,None,None,58800000,58800000,None,None,0,None,4700000,4700000,25100000,None,289000000
2020-12-31,574200000,253800000,None,248700000,19500000,126100000,16100000,-72800000,-7000000,380700000,-380900000,-199500000,460000000,None,None,None,54100000,54100000,None,None,0,None,119200000,3200000,380700000,None,255800000
2020-09-30,137900000,7900000,None,-95400000,-3900000,133100000,12100000,76500000,-3700000,234400000,-5515500000,3803500000,1160000000,None,None,None,53400000,53400000,None,None,2700000000,None,2800000,2800000,234400000,None,234400000
2020-06-30,449100000,-3600000,None,117600000,8800000,115700000,10200000,-19500000,8800000,219200000,-160500000,571600000,0,None,None,None,53500000,53500000,None,None,None,None,1700000,1700000,219200000,None,219200000
2020-03-31,363900000,10100000,None,-26400000,10300000,116700000,10500000,69100000,10300000,240300000,-17000000,-38700000,0,None,None,None,53100000,53100000,None,None,None,None,2800000,2800000,308200000,None,240300000
2019-12-31,466200000,167100000,None,135700000,4100000,104500000,20700000,-98800000,-11100000,398400000,887800000,-975100000,-925000000,None,None,None,48200000,48200000,None,None,None,None,73300000,1600000,398400000,None,871100000
2019-09-30,404500000,25000000,None,-16900000,6800000,108200000,14300000,13600000,6800000,277500000,-1829700000,1435000000,285000000,None,None,None,47900000,47900000,None,None,None,None,1600000,1600000,277500000,None,277500000
2019-06-30,300800000,28800000,None,-10000000,-1100000,99800000,12100000,-50400000,-1100000,249700000,-551300000,181400000,230000000,None,None,None,47900000,47900000,None,None,None,None,1400000,1400000,249700000,None,249700000
2019-03-31,290300000,17500000,None,-110400000,19500000,96300000,15800000,88900000,19500000,369600000,197200000,-464300000,-455000000,None,None,None,47700000,47700000,None,None,None,None,2200000,2200000,23200000,None,369600000
2018-12-31,464100000,163100000,None,97100000,11700000,71800000,14900000,-67400000,-8600000,364400000,-104700000,-347300000,525000000,None,None,None,43400000,43400000,None,None,None,None,65500000,1300000,1000000,-11100000,257100000
