fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2017-03-31,788000000,None,None,None,None,328000000,442000000,None,None,1184000000,1039000000,1535000000,None,1304000000,1304000000,None,0,1505000000,None,394000000,None,None,-910000000,None,3565000000,202000000,1182000000
2016-12-31,2069000000,None,None,None,None,464000000,701000000,None,-142000000,547000000,329000000,-4762000000,None,1172000000,1172000000,None,3015000000,3015000000,None,139000000,None,None,-1033000000,None,-2592000000,-236000000,550000000
2016-09-30,2903000000,None,None,None,None,420000000,476000000,None,None,1050000000,-396000000,-1000000000,None,353000000,353000000,None,11000000,11000000,None,187000000,None,None,-166000000,None,1500000000,-7000000,1046000000
2016-06-30,3216000000,None,None,None,None,445000000,549000000,None,None,3460000000,-1285000000,-1182000000,None,1417000000,1417000000,None,1512000000,1512000000,None,345000000,None,None,-1072000000,None,899000000,150000000,3448000000
2016-03-31,604000000,None,None,None,None,458000000,536000000,None,None,1493000000,348000000,399000000,None,739000000,739000000,None,1505000000,1505000000,None,763000000,None,None,24000000,None,1439000000,88000000,1483000000
2015-12-31,2138000000,None,None,None,None,527000000,883000000,None,-250000000,1236000000,-773000000,-3935000000,None,1598000000,1598000000,None,1428000000,1428000000,None,513000000,None,None,-1085000000,None,-2674000000,-104000000,1237000000
2015-09-30,3272000000,None,None,None,None,482000000,556000000,None,None,1453000000,-1657000000,-48000000,None,668000000,668000000,None,1436000000,1436000000,None,322000000,None,None,-346000000,None,1178000000,-389000000,1449000000
2015-06-30,3544000000,None,None,None,None,488000000,598000000,None,None,3111000000,-2944000000,47000000,None,644000000,644000000,None,1436000000,1436000000,None,131000000,None,None,-513000000,None,594000000,-53000000,3108000000
2015-03-31,1574000000,None,None,None,None,473000000,516000000,None,None,1566000000,-812000000,-1177000000,None,654000000,654000000,None,1441000000,1441000000,None,279000000,None,None,-375000000,None,-747000000,-332000000,1557000000
2014-12-31,2636000000,None,None,None,None,499000000,788000000,None,35000000,771000000,-948000000,-3435000000,None,1199000000,1199000000,None,2670000000,2670000000,None,474000000,None,None,-725000000,None,-2126000000,-379000000,770000000
2014-09-30,3509000000,None,None,None,None,510000000,588000000,None,None,2122000000,-3430000000,-258000000,None,1010000000,1010000000,None,1338000000,1338000000,None,408000000,None,None,-602000000,None,-534000000,-355000000,2114000000
2014-06-30,3404000000,None,None,None,None,494000000,581000000,None,None,2605000000,-915000000,-143000000,None,1078000000,1078000000,None,1342000000,1342000000,None,459000000,None,None,-619000000,None,2487000000,141000000,2595000000
2014-03-31,1066000000,None,None,None,None,473000000,449000000,None,None,1626000000,-2213000000,205000000,None,875000000,875000000,None,0,10926000000,None,191000000,None,None,-684000000,None,-1283000000,-341000000,1619000000
2013-12-31,2830000000,None,None,None,None,533000000,925000000,None,105000000,1708000000,-1231000000,-2362000000,None,940000000,940000000,None,2475000000,2475000000,None,249000000,None,None,-691000000,None,-704000000,59000000,1710000000
2013-09-30,3756000000,None,None,None,None,497000000,556000000,None,None,2455000000,-275000000,-1519000000,None,914000000,914000000,None,1245000000,1245000000,None,128000000,None,None,-786000000,None,1712000000,-250000000,2447000000
2013-06-30,3478000000,None,None,None,None,474000000,571000000,None,None,2694000000,-1490000000,-1299000000,None,1455000000,1455000000,None,1249000000,1249000000,None,534000000,None,None,-921000000,None,244000000,-445000000,2676000000
2013-03-31,478000000,None,None,None,None,473000000,498000000,None,None,1769000000,-1218000000,1435000000,None,1523000000,1523000000,None,0,12585000000,None,417000000,None,None,-1106000000,None,720000000,25000000,1751000000
2012-12-31,2805000000,None,None,None,None,513000000,809000000,None,286000000,1890000000,-1005000000,-2948000000,None,940000000,940000000,None,2291000000,2291000000,None,170000000,None,None,-770000000,None,-1173000000,-25000000,1866000000
2012-09-30,3662000000,None,None,None,None,514000000,666000000,None,None,2329000000,-1839000000,-1547000000,None,1009000000,1009000000,None,1149000000,1149000000,None,324000000,None,None,-685000000,None,278000000,2000000,2311000000
2012-06-30,3685000000,None,None,None,None,508000000,713000000,None,None,2800000000,-3677000000,-774000000,None,1531000000,1531000000,None,1155000000,1155000000,None,559000000,None,None,-972000000,None,-1327000000,-561000000,2788000000
2012-03-31,493000000,None,None,None,None,447000000,592000000,None,None,2067000000,-4883000000,1922000000,None,1079000000,1079000000,None,0,11358000000,None,436000000,None,None,-643000000,None,-2139000000,329000000,2054000000
2011-12-31,2674000000,None,None,None,None,531000000,1005000000,None,447000000,1677000000,890000000,-3410000000,None,905000000,905000000,None,2141000000,2141000000,None,187000000,None,None,-718000000,None,121000000,-33000000,1657000000
2011-09-30,3158000000,None,None,None,None,466000000,725000000,None,None,2246000000,-1086000000,1146000000,None,2237000000,2237000000,None,16000000,16000000,None,580000000,None,None,-1657000000,None,2516000000,-702000000,2224000000
2011-06-30,3184000000,None,None,None,None,471000000,601000000,None,None,2807000000,-1281000000,-956000000,None,242000000,242000000,None,1078000000,1078000000,None,362000000,None,None,120000000,None,1091000000,144000000,2800000000
2011-03-31,458000000,None,None,None,None,486000000,589000000,None,None,1916000000,-1047000000,986000000,None,1129000000,1129000000,None,1065000000,1065000000,None,440000000,None,None,-689000000,None,558000000,161000000,1903000000
2010-12-31,2308000000,None,None,None,None,509000000,880000000,None,182000000,5762000000,-1692000000,-2580000000,None,2958000000,2958000000,None,1034000000,1034000000,None,1131000000,None,None,-1827000000,None,-1992000000,-28000000,5749000000
2010-09-30,2914000000,None,None,None,None,323000000,442000000,None,None,2067000000,-1375000000,990000000,None,1000000,1000000,None,1004000000,1004000000,None,331000000,None,None,330000000,None,2774000000,245000000,2055000000
2010-06-30,2984000000,None,None,None,None,316000000,500000000,None,None,2382000000,30000000,-832000000,None,0,0,None,1015000000,1015000000,None,83000000,None,None,83000000,None,2051000000,-131000000,2369000000
2010-03-31,1326000000,None,None,None,None,295000000,393000000,None,None,1626000000,-1368000000,-1043000000,None,2000000,2000000,None,1015000000,1015000000,None,121000000,None,None,119000000,None,-1337000000,-252000000,1614000000
2009-12-31,1916000000,None,None,None,None,331000000,594000000,None,None,1578000000,-2589000000,-1409000000,None,1512000000,1512000000,None,950000000,950000000,None,432000000,None,None,-1082000000,None,-1825000000,257000000,1543000000
2009-09-30,2608000000,None,None,None,None,320000000,419000000,None,None,1920000000,-396000000,-1026000000,None,2000000,2000000,None,951000000,951000000,None,158000000,None,None,156000000,None,1199000000,13000000,1896000000
2009-06-30,2789000000,None,None,None,None,302000000,513000000,None,None,2049000000,-565000000,-1675000000,None,4000000,None,None,949000000,949000000,None,64000000,None,None,-4000000,None,831000000,282000000,2037000000
2009-03-31,873000000,None,None,None,None,283000000,467000000,None,-111000000,1359000000,-599000000,1817000000,None,0,None,None,950000000,950000000,None,10000000,None,None,10000000,None,2115000000,24000000,1348000000
2008-12-31,1903000000,None,None,None,None,285000000,598000000,None,None,1005000000,-569000000,-3809000000,None,0,None,None,1757000000,1757000000,None,25000000,None,None,None,None,-3096000000,-621000000,995000000
2008-09-30,2450000000,None,None,None,None,306000000,474000000,None,None,1915000000,-560000000,-559000000,None,48000000,None,None,880000000,880000000,None,111000000,None,None,-48000000,None,1226000000,-105000000,1890000000
2008-06-30,2098000000,None,None,None,None,330000000,510000000,None,None,1443000000,None,-1058000000,None,None,None,None,884000000,884000000,None,None,None,None,-777000000,None,None,None,1422000000
